연도,공항,국내선D/ 국제선I,운항계획,운항,기상,A/C접속,A/C정비,기타
2011,CJJ,D,7752,7698,26,26,0,2
2011,CJJ,I,549,546,0,0,0,3
2011,CJU,D,104075,102844,431,649,40,111
2011,CJU,I,4908,4877,16,14,0,1
2011,GMP,D,106096,104159,746,913,82,196
2011,GMP,I,18804,18772,14,12,1,5
2011,HIN,D,1876,1810,35,29,0,2
2011,ICN,D,4305,4270,22,11,1,1
2011,ICN,I,185357,185008,129,151,20,49
2011,KPO,D,3876,3540,145,157,4,30
2011,KUV,D,1440,1398,22,16,2,2
2011,KWJ,D,10913,10691,150,55,8,9
2011,MWX,D,196,190,2,3,0,1
2011,MWX,I,552,552,0,0,0,0
2011,PUS,D,38703,38121,212,308,32,30
2011,PUS,I,27379,27204,73,87,8,7
2011,RSU,D,5855,5797,22,28,2,6
2011,TAE,D,7181,7104,36,36,2,3
2011,TAE,I,1117,1111,4,2,0,0
2011,USN,D,6358,6110,107,113,7,21
2011,WJU,D,730,696,27,5,0,2
2011,YNY,I,61,59,0,1,0,1
2012,CJJ,D,7906,7739,134,13,3,17
2012,CJJ,I,502,493,5,2,1,1
2012,CJU,D,107070,105546,1110,297,71,46
2012,CJU,I,6563,6519,37,5,1,1
2012,GMP,D,104982,103187,1062,563,87,83
2012,GMP,I,21456,21404,35,11,2,4
2012,HIN,D,1884,1780,78,24,0,2
2012,ICN,D,5437,5371,45,6,0,15
2012,ICN,I,208807,208232,353,88,42,92
2012,KPO,D,3428,3308,83,34,2,1
2012,KUV,D,1406,1350,28,18,0,10
2012,KWJ,D,11002,10800,168,31,3,0
2012,MWX,D,210,206,1,2,0,1
2012,MWX,I,560,552,7,1,0,0
2012,PUS,D,39536,38925,377,188,27,19
2012,PUS,I,31599,31393,140,54,7,5
2012,RSU,D,6119,6000,89,26,4,0
2012,TAE,D,7264,7145,90,28,0,1
2012,TAE,I,878,864,12,2,0,0
2012,USN,D,5708,5469,151,72,0,16
2012,WJU,D,732,704,26,2,0,0
2012,YNY,I,164,158,6,0,0,0
2013,CJJ,D,7907,7854,48,4,0,1
2013,CJJ,I,731,731,0,0,0,0
2013,CJU,D,113680,113028,343,240,50,19
2013,CJU,I,7891,7865,10,11,1,4
2013,GMP,D,109693,108751,459,400,59,24
2013,GMP,I,21301,21268,17,7,3,6
2013,HIN,D,1812,1706,76,30,0,0
2013,ICN,D,6063,6047,14,2,0,0
2013,ICN,I,222617,222213,170,82,36,116
2013,KPO,D,3224,3131,53,32,6,2
2013,KUV,D,1460,1444,15,1,0,0
2013,KWJ,D,10890,10775,94,19,2,0
2013,MWX,D,205,203,0,2,0,0
2013,MWX,I,626,626,0,0,0,0
2013,PUS,D,40176,39910,113,117,26,10
2013,PUS,I,35817,35692,71,31,16,7
2013,RSU,D,5848,5825,13,9,0,1
2013,TAE,D,7585,7557,12,12,3,1
2013,TAE,I,843,842,1,0,0,0
2013,USN,D,5107,4976,78,51,1,1
2013,WJU,D,730,688,40,0,0,2
2013,YNY,D,9,9,0,0,0,0
2013,YNY,I,86,86,0,0,0,0
2014,CJJ,D,8240,8160,71,9,0,0
2014,CJJ,I,1939,1935,3,0,0,1
2014,CJU,D,125982,124498,974,447,50,13
2014,CJU,I,13928,13811,88,20,4,5
2014,GMP,D,115423,113716,1216,411,58,22
2014,GMP,I,21163,21125,29,1,5,3
2014,HIN,D,1876,1791,59,25,1,0
2014,ICN,D,5269,5249,15,4,1,0
2014,ICN,I,242453,242191,124,30,46,62
2014,KPO,D,1600,1540,29,31,0,0
2014,KUV,D,1270,1205,65,0,0,0
2014,KWJ,D,11644,11436,165,40,1,2
2014,MWX,D,329,322,4,3,0,0
2014,MWX,I,635,635,0,0,0,0
2014,PUS,D,41381,40970,278,113,18,2
2014,PUS,I,35667,35530,69,48,17,3
2014,RSU,D,5762,5665,52,41,4,0
2014,TAE,D,10178,10095,66,16,1,0
2014,TAE,I,1007,1007,0,0,0,0
2014,USN,D,5130,4858,136,134,0,2
2014,WJU,D,730,688,38,0,0,4
2014,YNY,D,11,11,0,0,0,0
2014,YNY,I,205,205,0,0,0,0
2015,CJJ,D,9966,9928,33,4,1,0
2015,CJJ,I,2726,2719,7,0,0,0
2015,CJU,D,141849,140911,564,229,84,61
2015,CJU,I,13812,13664,114,18,5,11
2015,GMP,D,121659,120552,639,302,111,55
2015,GMP,I,20343,20320,17,1,3,2
2015,HIN,D,1876,1804,68,4,0,0
2015,KUV,D,1460,1430,30,0,0,0
2015,KWJ,D,12311,12200,80,18,3,10
2015,MWX,D,868,861,3,4,0,0
2015,MWX,I,658,656,2,0,0,0
2015,PUS,D,44266,43875,213,150,28,0
2015,PUS,I,42263,42055,133,50,14,11
2015,RSU,D,5548,5476,49,17,3,3
2015,TAE,D,11267,11238,24,3,2,0
2015,TAE,I,2107,2101,5,0,1,0
2015,USN,D,5132,5019,99,12,1,1
2015,WJU,D,730,706,24,0,0,0
2015,YNY,I,92,92,0,0,0,0
2016,CJJ,D,12900,12738,149,12,0,1
2016,CJJ,I,3327,3305,18,3,0,1
2016,CJU,D,153417,151127,1508,417,89,276
2016,CJU,I,18543,18250,232,33,7,21
2016,GMP,D,126309,124177,1309,465,102,256
2016,GMP,I,20477,20451,13,6,6,1
2016,HIN,D,1884,1822,59,3,0,0
2016,KPO,D,962,902,57,3,0,0
2016,KUV,D,1461,1426,30,1,0,4
2016,KWJ,D,10912,10769,110,29,3,1
2016,MWX,D,722,715,7,0,0,0
2016,MWX,I,842,841,0,0,1,0
2016,PUS,D,46593,45944,421,206,14,8
2016,PUS,I,52146,51946,129,53,13,5
2016,RSU,D,4913,4803,89,19,2,0
2016,TAE,D,11939,11842,84,12,0,1
2016,TAE,I,3666,3659,6,1,0,0
2016,USN,D,5075,4889,130,56,0,0
2016,WJU,D,731,699,31,0,0,1
2016,YNY,D,2,2,0,0,0,0
2020,GMP,D,117586,116337,1062,105,32,50
2020,GMP,I,20241,20161,76,0,2,2
2020,PUS,D,45980,45449,484,34,11,2
2020,PUS,I,62777,62285,438,24,17,13
2020,CJU,D,154067,152640,1238,91,19,79
2020,CJU,I,16787,16519,237,21,2,8
2020,CJJ,D,14086,13963,121,2,0,0
2020,CJJ,I,3618,3600,18,0,0,0
2020,TAE,D,12560,12448,107,1,3,1
2020,TAE,I,17791,17721,67,0,3,0
2020,MWX,D,1316,1307,8,1,0,0
2020,MWX,I,4520,4507,10,1,1,1
2020,YNY,D,160,160,0,0,0,0
2020,YNY,I,12,12,0,0,0,0
2020,KWJ,D,13281,13123,126,6,1,25
2020,USN,D,6509,6335,148,24,1,1
2020,RSU,D,5001,4914,81,6,0,0
2020,KPO,D,1162,1089,68,5,0,0
2020,HIN,D,1937,1896,38,3,0,0
2020,KUV,D,1955,1974,17,0,0,14
2020,WJU,D,904,872,29,3,0,0
2021,GMP,D,83058,82242,766,28,9,13
2021,GMP,I,14,14,0,0,0,0
2021,PUS,D,34328,33909,402,11,3,3
2021,PUS,I,66,62,3,1,0,0
2021,CJU,D,96464,95570,850,20,10,14
2021,CJU,I,58,58,0,0,0,0
2021,CJJ,D,10467,10412,54,1,0,0
2021,TAE,D,8433,8389,43,1,0,0
2021,TAE,I,34,34,0,0,0,0
2021,YNY,D,1286,1250,35,1,0,0
2021,KWJ,D,8830,8718,106,5,1,0
2021,USN,D,4157,4018,136,1,2,0
2021,RSU,D,4691,4626,65,0,0,0
2021,KPO,D,1282,1190,68,14,0,0
2021,KUV,D,1315,1276,39,0,0,0
2021,WJU,D,664,646,18,0,0,0
